epoch,train_loss,val_loss,valence_mae,valence_r2,arousal_mae,arousal_r2,rmse_valence,rmse_arousal,rmse_avg,pcc_valence,pcc_arousal,quadrant_acc,lr,track_valence_mae,track_valence_r2,track_arousal_mae,track_arousal_r2,track_quadrant_acc
1,0.036066,0.03158,0.136617,0.43781,0.146049,0.557368,0.174364,0.180987,0.177676,0.669677,0.757033,0.620579,4.410670652072704e-05,0.113491,0.58579,0.130355,0.659476,0.675277
2,0.022461,0.029928,0.132489,0.474675,0.143146,0.575069,0.16855,0.177332,0.172941,0.692559,0.768626,0.642069,5.6356555089377594e-05,0.111718,0.59888,0.128483,0.672269,0.690037
3,0.017847,0.029828,0.13216,0.484221,0.143235,0.570786,0.167012,0.178223,0.172618,0.697116,0.769144,0.646523,7.65399351518064e-05,0.11236,0.600488,0.128018,0.673844,0.697417
4,0.014878,0.02953,0.132072,0.480477,0.141668,0.581591,0.167617,0.175965,0.171791,0.697593,0.768965,0.650199,0.00010431148329754418,0.11252,0.600127,0.126431,0.678069,0.693727
5,0.012602,0.029477,0.132521,0.482645,0.140714,0.581434,0.167267,0.175998,0.171633,0.699796,0.768204,0.653772,0.00013919599286883744,0.113439,0.599792,0.125217,0.680089,0.678967
6,0.010958,0.029764,0.13247,0.484116,0.141829,0.572584,0.167029,0.177849,0.172439,0.698105,0.762945,0.65486,0.00018059654535348296,0.112415,0.604357,0.125676,0.675972,0.712177
7,0.009919,0.029783,0.131171,0.492651,0.142415,0.565844,0.165641,0.179246,0.172444,0.704555,0.756978,0.650096,0.00022780472442293761,0.112017,0.606185,0.127176,0.665058,0.686347
8,0.009136,0.029493,0.131694,0.493467,0.141944,0.573093,0.165508,0.177743,0.171626,0.705373,0.762035,0.658692,0.00028001273784046706,0.113024,0.603579,0.127381,0.668763,0.697417
9,0.008656,0.02979,0.131407,0.499131,0.142927,0.560925,0.16458,0.180259,0.17242,0.706935,0.759702,0.648439,0.00033632723981800484,0.113413,0.602137,0.12665,0.677372,0.690037
10,0.008248,0.028536,0.12945,0.50651,0.138155,0.589408,0.163363,0.174314,0.168839,0.714099,0.768407,0.655378,0.0003957846173035398,0.111568,0.605271,0.122834,0.682163,0.712177
11,0.008074,0.029149,0.130077,0.503143,0.14149,0.575315,0.16392,0.17728,0.1706,0.712508,0.764061,0.656931,0.0004573674786311337,0.112242,0.604612,0.126905,0.667513,0.697417
12,0.007983,0.028446,0.129849,0.496493,0.136164,0.599187,0.165013,0.172226,0.168619,0.709124,0.774165,0.649474,0.0005200220623917072,0.112388,0.603005,0.120667,0.690519,0.701107
13,0.007861,0.028852,0.130989,0.496854,0.139163,0.587944,0.164954,0.174624,0.169789,0.706545,0.768596,0.652737,0.0005826762686365811,0.112737,0.59979,0.123108,0.681953,0.712177
14,0.007837,0.029135,0.130964,0.497463,0.140593,0.579841,0.164854,0.176333,0.170594,0.706066,0.765472,0.645591,0.0006442580038768524,0.113416,0.599388,0.126889,0.672637,0.690037
15,0.00794,0.030142,0.132506,0.483801,0.142908,0.562599,0.16708,0.179915,0.173497,0.698056,0.75879,0.652323,0.0007037135259722336,0.114893,0.583616,0.12825,0.661183,0.704797
16,0.008028,0.030103,0.133414,0.478298,0.141246,0.567676,0.167968,0.178868,0.173418,0.692003,0.754805,0.644814,0.0007600254750048817,0.115402,0.582286,0.125047,0.665364,0.690037
17,0.008088,0.029527,0.133793,0.475058,0.139618,0.585615,0.168489,0.175117,0.171803,0.702281,0.767028,0.651856,0.0008122302816069332,0.118032,0.569983,0.125559,0.673797,0.690037
18,0.008467,0.030012,0.132741,0.48798,0.145354,0.563061,0.166402,0.17982,0.173111,0.69963,0.767857,0.653255,0.0008594346548630304,0.114793,0.586422,0.132968,0.655739,0.690037
19,0.008408,0.029319,0.132876,0.486732,0.140536,0.582716,0.166605,0.175729,0.171167,0.704486,0.766267,0.653099,0.0009008308676587658,0.115439,0.585956,0.126098,0.672999,0.701107
20,0.008529,0.029511,0.13218,0.488901,0.14061,0.575951,0.166252,0.177147,0.1717,0.700351,0.764391,0.642432,0.0009357105779232163,0.11557,0.583391,0.12605,0.670901,0.678967
21,0.008582,0.030098,0.134327,0.478584,0.144307,0.567603,0.167922,0.178883,0.173402,0.697789,0.763615,0.645332,0.0009634769492664481,0.118742,0.570095,0.131122,0.651675,0.697417
22,0.008713,0.030296,0.134405,0.487808,0.145817,0.555535,0.16643,0.181362,0.173896,0.703036,0.762705,0.653669,0.0009836548636124106,0.119341,0.570992,0.133251,0.649283,0.708487
23,0.008586,0.029808,0.132498,0.488653,0.142188,0.568107,0.166293,0.178778,0.172536,0.713523,0.765089,0.650873,0.0009958990510760231,0.113941,0.598401,0.125414,0.683102,0.697417
24,0.008516,0.030206,0.135054,0.472397,0.143527,0.569228,0.168915,0.178546,0.173731,0.691565,0.760592,0.637823,0.0009999999996119907,0.119186,0.570144,0.130142,0.656477,0.697417
25,0.008304,0.029263,0.13032,0.488156,0.140725,0.583186,0.166374,0.17563,0.171002,0.706829,0.775987,0.654705,0.0009992123057973208,0.111499,0.597154,0.12482,0.690157,0.701107
